species	taxon_id	element_type	corresponding_file
B_breve_017W439_C	1685	:CHRSM	B_breve_017W439_C
B_breve_082W48_C	1685	:CHRSM	B_breve_082W48_C
B_breve_1001270B_150601_B2_S	1685	:CHRSM	B_breve_1001270B_150601_B2_S
B_breve_12L_C	1685	:CHRSM	B_breve_12L_C
B_breve_139W423_C	1685	:CHRSM	B_breve_139W423_C
B_breve_180W83_C	1685	:CHRSM	B_breve_180W83_C
B_breve_215W447a_C	1685	:CHRSM	B_breve_215W447a_C
B_breve_322-1_S	1685	:CHRSM	B_breve_322-1_S
B_breve_689b_C	1685	:CHRSM	B_breve_689b_C
B_breve_91-1_S	1685	:CHRSM	B_breve_91-1_S
B_breve_ACS-071-V-Sch8b_C	1685	:CHRSM	B_breve_ACS-071-V-Sch8b_C
B_breve_B-breve_1_mod_C	1685	:CHRSM	B_breve_B-breve_1_mod_C
B_breve_BR3_C	1685	:CHRSM	B_breve_BR3_C
B_breve_BSD2780061688_150302_F6_S	1685	:CHRSM	B_breve_BSD2780061688_150302_F6_S
B_breve_Bifidobacterium_breve_MC1_S	1685	:CHRSM	B_breve_Bifidobacterium_breve_MC1_S
B_breve_CNCM_I-4321_C	1685	:CHRSM	B_breve_CNCM_I-4321_C
B_breve_DRBB26_C	1685	:CHRSM	B_breve_DRBB26_C
B_breve_DRBB27_C	1685	:CHRSM	B_breve_DRBB27_C
B_breve_DRBB28_C	1685	:CHRSM	B_breve_DRBB28_C
B_breve_DRBB29_C	1685	:CHRSM	B_breve_DRBB29_C
B_breve_DRBB30_C	1685	:CHRSM	B_breve_DRBB30_C
B_breve_DSM_20213_S	1685	:CHRSM	B_breve_DSM_20213_S
B_breve_FDAARGOS_561_C	1685	:CHRSM	B_breve_FDAARGOS_561_C
B_breve_GED8481_S	1685	:CHRSM	B_breve_GED8481_S
B_breve_HPH0326_S	1685	:CHRSM	B_breve_HPH0326_S
B_breve_JCM_1192_C	1685	:CHRSM	B_breve_JCM_1192_C
B_breve_JCM_7017_C	1685	:CHRSM	B_breve_JCM_7017_C
B_breve_JCM_7019_C	1685	:CHRSM	B_breve_JCM_7019_C
B_breve_JCP7499_S	1685	:CHRSM	B_breve_JCP7499_S
B_breve_JR01_C	1685	:CHRSM	B_breve_JR01_C
B_breve_JSRL01_C	1685	:CHRSM	B_breve_JSRL01_C
B_breve_JTL_C	1685	:CHRSM	B_breve_JTL_C
B_breve_LH_21_S	1685	:CHRSM	B_breve_LH_21_S
B_breve_LH_24_S	1685	:CHRSM	B_breve_LH_24_S
B_breve_LMC520_C	1685	:CHRSM	B_breve_LMC520_C
B_breve_MCC_0305_S	1685	:CHRSM	B_breve_MCC_0305_S
B_breve_MCC_1094_S	1685	:CHRSM	B_breve_MCC_1094_S
B_breve_MCC_1340_S	1685	:CHRSM	B_breve_MCC_1340_S
B_breve_MCC_1454_S	1685	:CHRSM	B_breve_MCC_1454_S
B_breve_MCC_1605_S	1685	:CHRSM	B_breve_MCC_1605_S
B_breve_MGYG-HGUT-02469_C	1685	:CHRSM	B_breve_MGYG-HGUT-02469_C
B_breve_N6D12_S	1685	:CHRSM	B_breve_N6D12_S
B_breve_NCFB_2258_C	1685	:CHRSM	B_breve_NCFB_2258_C
B_breve_NCTC11815_C	1685	:CHRSM	B_breve_NCTC11815_C
B_breve_NRBB01_C	1685	:CHRSM	B_breve_NRBB01_C
B_breve_NRBB02_C	1685	:CHRSM	B_breve_NRBB02_C
B_breve_NRBB04_C	1685	:CHRSM	B_breve_NRBB04_C
B_breve_NRBB08_C	1685	:CHRSM	B_breve_NRBB08_C
B_breve_NRBB09_C	1685	:CHRSM	B_breve_NRBB09_C
B_breve_NRBB11_C	1685	:CHRSM	B_breve_NRBB11_C
B_breve_NRBB18_C	1685	:CHRSM	B_breve_NRBB18_C
B_breve_NRBB19_C	1685	:CHRSM	B_breve_NRBB19_C
B_breve_NRBB20_C	1685	:CHRSM	B_breve_NRBB20_C
B_breve_NRBB27_C	1685	:CHRSM	B_breve_NRBB27_C
B_breve_NRBB49_C	1685	:CHRSM	B_breve_NRBB49_C
B_breve_NRBB50_C	1685	:CHRSM	B_breve_NRBB50_C
B_breve_NRBB51_C	1685	:CHRSM	B_breve_NRBB51_C
B_breve_NRBB52_C	1685	:CHRSM	B_breve_NRBB52_C
B_breve_NRBB56_C	1685	:CHRSM	B_breve_NRBB56_C
B_breve_NRBB57_C	1685	:CHRSM	B_breve_NRBB57_C
B_breve_S27_C	1685	:CHRSM	B_breve_S27_C
B_breve_SC95_S	1685	:CHRSM	B_breve_SC95_S
B_breve_UCC2003_C	1685	:CHRSM	B_breve_UCC2003_C
B_breve_UMB0089_S	1685	:CHRSM	B_breve_UMB0089_S
B_breve_UMB0915_S	1685	:CHRSM	B_breve_UMB0915_S
B_breve_W20-13_S	1685	:CHRSM	B_breve_W20-13_S
B_breve_W56_S	1685	:CHRSM	B_breve_W56_S
B_breve_lw01_C	1685	:CHRSM	B_breve_lw01_C
B_longum_1-5B_S	216816	:CHRSM	B_longum_1-5B_S
B_longum_1001136B_160425_B5_S	216816	:CHRSM	B_longum_1001136B_160425_B5_S
B_longum_1001175B_160314_B2_S	216816	:CHRSM	B_longum_1001175B_160314_B2_S
B_longum_1001175st1_G10_S	216816	:CHRSM	B_longum_1001175st1_G10_S
B_longum_1001271st1_B4_S	216816	:CHRSM	B_longum_1001271st1_B4_S
B_longum_1001275B_160808_B3_S	216816	:CHRSM	B_longum_1001275B_160808_B3_S
B_longum_1001302B_160321_G1_S	216816	:CHRSM	B_longum_1001302B_160321_G1_S
B_longum_1001713B170214_170313_H7_S	216816	:CHRSM	B_longum_1001713B170214_170313_H7_S
B_longum_105-A_C	216816	:CHRSM	B_longum_105-A_C
B_longum_12_1_47BFAA_S	216816	:CHRSM	B_longum_12_1_47BFAA_S
B_longum_157F_C	216816	:CHRSM	B_longum_157F_C
B_longum_17-1B_S	216816	:CHRSM	B_longum_17-1B_S
B_longum_239-2_S	216816	:CHRSM	B_longum_239-2_S
B_longum_35624_C	216816	:CHRSM	B_longum_35624_C
B_longum_51A_C	216816	:CHRSM	B_longum_51A_C
B_longum_7-1B_S	216816	:CHRSM	B_longum_7-1B_S
B_longum_72B_S	216816	:CHRSM	B_longum_72B_S
B_longum_7_S	216816	:CHRSM	B_longum_7_S
B_longum_AF03-10_S	216816	:CHRSM	B_longum_AF03-10_S
B_longum_AF03-20_S	216816	:CHRSM	B_longum_AF03-20_S
B_longum_AF03-27_S	216816	:CHRSM	B_longum_AF03-27_S
B_longum_AF04-13_S	216816	:CHRSM	B_longum_AF04-13_S
B_longum_AF05-16_S	216816	:CHRSM	B_longum_AF05-16_S
B_longum_AF05-2_S	216816	:CHRSM	B_longum_AF05-2_S
B_longum_AF08-2_S	216816	:CHRSM	B_longum_AF08-2_S
B_longum_AF11-12_S	216816	:CHRSM	B_longum_AF11-12_S
B_longum_AF11-41_S	216816	:CHRSM	B_longum_AF11-41_S
B_longum_AF13-34_S	216816	:CHRSM	B_longum_AF13-34_S
B_longum_AF13-41_S	216816	:CHRSM	B_longum_AF13-41_S
B_longum_AF14-22_S	216816	:CHRSM	B_longum_AF14-22_S
B_longum_AF14-34_S	216816	:CHRSM	B_longum_AF14-34_S
B_longum_AF26-10_S	216816	:CHRSM	B_longum_AF26-10_S
B_longum_AF27-1BH_S	216816	:CHRSM	B_longum_AF27-1BH_S
B_longum_AF30-11_S	216816	:CHRSM	B_longum_AF30-11_S
B_longum_AF30-12_S	216816	:CHRSM	B_longum_AF30-12_S
B_longum_AF34-9AC_S	216816	:CHRSM	B_longum_AF34-9AC_S
B_longum_AF35-13AC_S	216816	:CHRSM	B_longum_AF35-13AC_S
B_longum_AF36-1_S	216816	:CHRSM	B_longum_AF36-1_S
B_longum_AH1206_C	216816	:CHRSM	B_longum_AH1206_C
