Strain	Status	Filename
Propionibacterium freudenreichii subsp- shermanii CIRM-BIA1_CIRM-B1AI		GCF_000091725-1
Streptococcus thermophilus_CIRM-BIA 18		GCF_025187365-1
Pediococcus acidilactici_CIRM-BIA 2175		GCF_025188245-1
Lactococcus lactis_CIRM-BIA 852		GCF_025188735-1
Limosilactobacillus reuteri_CIRM-BIA 696		GCF_025189665-1
Lactiplantibacillus pentosus_CIRM-BIA 2173		GCF_025190325-1
Lactobacillus helveticus_CIRM-BIA 106		GCF_025191245-1
Lactobacillus delbrueckii subsp- lactis_CIRM-BIA 231		GCF_025193465-1
Latilactobacillus curvatus_CIRM-BIA 520		GCF_025193965-1
Lactococcus cremoris_CIRM-BIA 84		GCF_025211855-1
